,uic,code_postal,total_voyageurs_2016,totalvoyageurs2017,total_voyageurs_2018,total_voyageurs_2019,total_voyageurs_2020,total_voyageurs_2021
1076,87726331,42800,658475,692933,658605,708038,419682,507759
1077,87784173,66600,82488,88885,72553,85145,63974,97363
1078,87182071,68170,201798,196831,188163,201126,126305,138354
1079,87726802,42300,950175,1001053,852143,939323,619152,777719
1080,87342089,62118,22208,23640,21018,21031,14871,17040
1081,87753251,13340,222997,229253,205256,221956,154490,178481
1082,87725739,71570,37297,38947,36632,44326,26448,32133
1083,87761650,26300,370401,404736,335904,408945,247897,341640
1084,87474155,29140,152470,159285,141427,156659,112547,159298
1085,87182337,68250,185281,198871,194040,208277,156200,182401
1086,87734038,63130,3279,3512,3000,3335,1809,2179
1087,87713826,21200,13713,15158,13066,11368,13979,14595
1088,87696260,58470,2364,1823,909,519,1543,1083
1089,87611301,31520,1084317,1106879,918005,1039740,812374,948587
1090,87584540,17360,10736,10372,13155,21510,16612,21355
1091,87343103,59230,686246,742010,726583,778244,491357,541191
1092,87491241,33240,351784,440540,489496,579774,374173,464028
1093,87723494,38490,131514,140463,140911,153540,105410,138154
1094,87471318,35230,7797,1909,2828,3120,2892,4317
1095,87394213,28300,16298,12809,14033,18501,14947,17062
1096,87473009,22000,1217822,1277265,1235284,1340194,897060,1187493
1097,87783241,48200,36039,33932,37726,44600,51956,57364
1098,87613257,12330,6298,6159,5040,5509,3433,4231
1099,87141374,54950,27597,25189,24874,27866,19686,23411
1100,87382358,92210,8462103,8758417,8878763,9074757,4434121,5837792
1101,87144014,88100,383617,377920,330696,363148,247485,330108
1102,87584193,33220,173923,185582,171919,134092,132836,166353
1103,87784850,66800,86,33,146,92,89,79
1104,87171751,2820,85490,86736,72014,64178,50364,60139
1105,87726158,42000,108047,109293,92732,107576,71454,89370
1106,87784520,66170,553,490,215,None,932,1313
1107,87611137,31800,257282,264854,181915,199283,156290,205315
1108,87775361,30190,68582,75110,80170,93907,46537,59597
1109,87747568,38450,1896,2083,2002,2914,1928,2966
1110,87732206,3260,127026,127498,111599,128610,94690,123219
1111,87478016,35250,41635,40523,45270,53527,41260,41967
1112,87276170,95210,2909515,2857361,2752077,2658478,1243189,1718129
1113,87761684,38330,64778,73427,60475,73432,43997,63464
1114,87726851,42590,13991,12696,11269,12481,8953,9601
1115,87485136,17450,32003,37600,27653,33925,22090,25188
1116,87592071,87400,44698,43087,37179,36509,23970,26360
1117,87595264,24110,15771,16445,15292,16631,16347,18035
1118,87276402,60340,126491,127725,118327,117808,64102,103178
1119,87276600,95320,2277835,2343136,2395427,2353567,588790,1845506
1120,87447003,50000,206774,212049,186638,209406,128874,177778
1121,87751644,13000,16,None,None,None,None,None
1122,87491209,33620,116995,127040,133983,153384,106345,141111
1123,87545350,91150,618353,618898,606163,597764,282784,477707
1124,87547315,75005,31920430,30766769,29157305,27558327,6469340,22555924
1125,87481705,44600,882557,926785,851047,958231,627823,862167
1126,87382481,78620,1389478,1390132,1361743,1338668,855984,786156
