,uic,code_postal,total_voyageurs_2016,totalvoyageurs2017,total_voyageurs_2018,total_voyageurs_2019,total_voyageurs_2020,total_voyageurs_2021
1443,87641464,63150,8857,9428,8185,9000,6258,11256
1444,87382432,78170,2036429,2077227,2080360,2090228,761361,1923942
1445,87543371,45380,7211,8066,8556,12272,5215,6870
1446,87696195,58400,151087,154522,134967,134915,124811,145243
1447,87574251,41260,1395,2145,2513,2175,897,868
1448,87592501,24450,20871,20906,17110,16363,10395,15210
1449,87753541,13500,31843,30708,21672,25227,12542,25599
1450,87296632,2800,134598,127578,104921,102354,94403,110741
1451,87576082,41300,13175,11562,11904,12963,11851,12922
1452,87116673,2460,120942,118228,119892,128417,72807,99790
1453,87584755,33380,37327,53238,74664,106126,73619,109282
1454,87592337,87340,13579,13285,12394,12096,14282,14497
1455,87394254,28240,359163,360154,350924,384503,319998,407134
1456,87545459,91290,631898,636395,627405,624015,264282,387213
1457,87751719,13720,5644,7603,5903,8213,8093,14168
1458,87753574,13820,40809,46974,41776,46278,28337,43303
1459,87726703,42150,9443,9797,7720,10351,5261,8736
1460,87715144,25560,18742,23565,23125,24754,26061,28364
1461,87474262,29800,13568,13963,13113,14028,9792,12300
1462,87575183,86490,17366,18790,20676,21736,17968,18020
1463,87723395,38290,735227,832502,850344,937186,607146,777685
1464,87612002,31670,149503,174725,144726,192154,133473,152333
1465,87731828,43013,903,1263,2247,1425,985,922
1466,87613323,46230,7333,7844,5380,8564,12762,20139
1467,87286575,59310,48366,57432,54818,63157,46040,49163
1468,87476234,56690,41967,42063,40947,49467,34646,51225
1469,87641274,63760,6937,5552,4582,5991,4694,10098
1470,87645135,15150,4322,3815,3546,3527,2638,2626
1471,87597781,23150,404,198,92,93,23,41
1472,87681635,91830,92545,91802,89144,87387,67053,58114
1473,87694109,71210,723396,732662,688741,691000,393139,500230
1474,87775866,30240,49797,57017,53899,59262,127601,107133
1475,87755405,83340,42798,43411,37872,47512,33909,45132
1476,87444588,61240,593,483,521,726,17,5
1477,87276733,60880,34528,34707,32022,39014,26071,36443
1478,87722678,38550,786001,837606,799488,865926,578999,699527
1479,87747519,38800,8184,8034,5805,9383,4685,7025
1480,87481762,44510,67304,73484,70391,87996,60000,81603
1481,87645192,15290,12407,11043,9298,6155,3554,6491
1482,87381095,92700,2430476,2307206,2212788,2477161,1211425,2248596
1483,87582601,33470,189804,207080,214704,260169,186120,223906
1484,87396333,61260,20037,18680,18549,20229,13117,15313
1485,87765453,84250,42567,44403,38304,39760,23166,33501
1486,87581389,33123,5150,7200,6925,10343,7964,12882
1487,87611350,9700,14491,12628,8373,9502,4596,10712
1488,87345223,62790,224614,248146,239341,270847,186332,189079
1489,87566919,69210,182763,222334,211712,227003,124739,156146
1490,87175240,55200,4815,6023,7383,8591,6658,5824
1491,87297515,59131,787,1068,1004,1919,1569,903
1492,87113779,94500,2779423,2831014,2834780,2828851,1240481,1915290
1493,87584532,33230,14905,15364,17957,21979,18059,16819
1494,87272146,92230,2550407,2643726,2688760,2754273,1229850,1536083
1495,87715227,25370,637,845,666,834,239,259
1496,87746818,74400,2371,2507,3009,3100,1547,1993
1497,87386680,78130,4054618,4152039,4169211,4212499,1739778,3678520
1498,87783514,48230,None,2,1,18,17,11
1499,87113803,93160,912202,929718,926641,933786,423167,592431
1500,87751602,13016,65513,76554,60832,76570,45211,83389
1501,87486126,85260,82761,89563,90305,97831,64010,80849
1502,87611517,9390,20230,18765,14734,12852,6753,10849
1503,87345256,62820,764323,784942,771411,839687,550226,599534
1504,87682153,77127,5859154,5928369,5887369,5862953,2918963,4406661
1505,87287250,59000,21321,23505,27727,31099,19925,26591
1506,87592006,87000,1643729,1696236,1458785,1589836,1002380,1396497
1507,87615161,11300,7119,6259,4776,7516,7083,17568
1508,87276527,95290,871379,892500,901306,927670,462888,855329
1509,87765479,84800,158846,167058,140170,153294,90311,129368
1510,87447219,14330,209488,223467,190364,170736,95100,133948
1511,87761247,26250,45918,54515,48642,61938,41665,53716
1512,87116632,77440,344061,356523,362132,370060,176418,319296
1513,87182345,68124,31194,31769,32443,36187,22194,28695
1514,87345231,62218,11559,15199,14600,15112,7162,7817
1515,87271775,2600,108,149,124,114,111,157
1516,87415141,76590,20924,25154,24211,29584,21705,25177
1517,87576157,41200,4508,4640,4323,4223,4520,5905
1518,87476002,56100,1165951,1243102,1222341,1390474,962917,1312177
1519,87142109,57420,616699,683277,583523,601834,258584,390064
1520,87713735,71500,24194,28890,26942,31418,19482,22091
1521,87382457,78430,965641,993261,1001155,1015247,478388,827992
1522,87597096,36350,755,268,30,107,655,1387
1523,87615773,12450,4560,5014,4749,6669,5253,7686
1524,87486258,85400,60513,61294,55019,54757,26261,44455
1525,87773408,34400,779273,794211,629093,513854,386217,589628
1526,87696534,58170,26487,29424,25180,28921,18613,27943
1527,87988717,93190,1316397,1338409,1332694,1335610,1621273,1320614
1528,87723197,69003,32525629,34874317,32555240,32587523,19541666,26187679
1529,87762906,69125,1245992,1490050,1781211,2392925,1117690,1404193
1530,87725705,71000,425545,458195,431203,468049,241155,340147
1531,87641365,3260,4824,4979,4108,2288,937,1312
1532,87394429,28120,2565,2665,4639,4625,3076,8348
1533,87575068,37800,19398,20861,20413,23699,14529,21401
1534,87191106,57210,236360,243032,216656,233235,145265,177405
1535,87684415,45330,463114,452088,431003,411354,224094,271589
1536,87381590,78200,922332,921694,899086,883928,469967,913016
1537,87746347,74970,110740,133079,131087,146796,116703,136930
1538,87723767,1240,96291,106378,102360,119224,78631,102131
1539,87576132,18500,7274,6942,5714,6292,4351,5677
1540,87586545,47200,419885,445085,419848,475299,302288,408069
1541,87111849,77111,5418784,6009276,5996489,5432886,2492919,3312209
1542,87545186,91630,1341273,1389667,1404670,1441406,650678,1357659
1543,87751081,13004,380068,436131,424347,504437,392563,556092
1544,87393579,91300,4554175,4592605,4509521,4478681,635645,4675988
1545,87214130,67150,32394,33544,30896,35607,32291,36149
1546,87295006,59600,431890,481661,477615,527684,337479,412450
1547,87345546,59980,606,112,474,337,179,158
1548,87481150,44470,16388,18573,18128,20802,10727,19867
1549,87584466,24150,1095,947,391,335,169,474
1550,87485250,79210,51344,58614,67241,77183,68328,78150
1551,87615542,81200,58346,61909,48875,55808,40290,52112
1552,87116103,77100,8698195,9061287,9260830,9490751,649234,8727614
1553,87682005,77000,15301762,15647375,15706181,15787310,7704662,13114808
1554,87756486,6500,1612481,1846053,1704152,1935727,1106504,1334327
1555,87276667,95540,643575,648598,675032,670612,488175,628515
1556,87696187,58400,4583,3581,3006,3183,3830,3720
1557,87182816,68380,65268,65992,62744,54194,45391,50116
1558,87172155,8000,13664,17574,12387,13533,5904,8285
1559,87611889,82200,83344,83915,66280,77068,63551,87547
1560,87747592,38650,29181,31707,23908,27898,16152,24324
1561,87683557,89470,16139,21150,16274,16007,11047,8713
1562,87481465,85600,317754,327763,314293,320635,216542,274796
1563,87276618,60160,32742,33684,32123,42097,25650,42796
1564,87571406,37250,11089,9619,9948,11899,7924,7251
1565,87726448,42600,136029,157039,136654,148530,84454,104065
1566,87694620,71300,50722,54713,53885,71447,66643,78743
1567,87471078,35160,321844,344458,361647,417962,291403,323466
1568,87172056,8800,124549,119705,104713,95726,103013,117417
1569,87571273,37270,21990,20668,19364,20874,14161,19529
1570,87583674,16190,8077,9864,10751,14114,9910,13875
1571,87773002,34011,8131336,8667721,7123630,6393777,4220874,5850564
1572,87141143,54360,12366,9930,9382,10788,8703,10240
1573,87765420,84310,32980,34923,30776,29589,17394,22663
1574,87411280,76970,82711,83730,82013,89599,61279,54932
1575,87696328,3000,708622,746273,677474,729618,465073,599672
1576,87473512,22200,748,552,867,1525,1277,975
1577,87182733,68380,31929,30407,28888,31410,29649,28499
1578,87534339,68200,None,None,None,None,None,None
1579,87611038,31600,844200,817425,647461,736364,657802,765572
1580,87781104,11100,1508061,1498171,1225596,1238902,1045543,1569858
1581,87684126,77140,1563912,1565806,1532858,1507877,772805,1279368
1582,87141291,88300,80656,93348,87866,73661,47657,57545
1583,87317099,62152,11256,11945,9837,11140,10591,13625
1584,87559070,58000,47888,52362,47715,45742,61090,68827
1585,87756056,6008,8030193,9028045,8415150,9517119,5221606,6631770
1586,87703975,30129,None,None,None,15135,405086,590063
1587,87753582,13016,29452,31446,29873,34070,27090,44390
1588,87485300,79000,1269730,1255491,1166545,1233309,805350,1076078
1589,87113746,94130,4806191,4864227,4841770,4819859,2091668,3079817
1590,87276758,95590,403564,408289,421212,430630,207757,351212
1591,87172213,8160,61589,55084,45054,45483,45387,55944
1592,87718411,25220,5781,6307,4642,5509,3548,3500
1593,87471540,35530,138660,144860,167904,216068,141669,158526
1594,87713156,89390,29463,30273,27520,34707,22087,30584
1595,87673319,40440,6185,8701,8719,15794,11897,14529
1596,87765107,84100,413419,462681,378570,390348,218227,330499
1597,87543009,45000,3407093,3680857,3436479,3417122,2071845,2885388
1598,87295667,59360,226,141,523,792,270,220
1599,87611343,9100,341778,345524,267380,295200,178137,270418
1600,87547000,75013,23073881,23212805,21821140,21682820,13203603,22281301
1601,87113001,75010,35820125,38455354,39301206,41240098,21580625,27758686
1602,87384008,75008,108771941,109956754,108075780,107340421,114468385,91502192
1603,87672006,64000,760097,830486,725078,837523,621116,961429
1604,87581256,33250,50884,56590,60960,86219,48177,65836
1605,87586438,47140,18351,17974,16672,17528,10037,9780
1606,87745620,74550,50523,56060,43735,52922,37640,57347
1607,87645176,15290,413,163,57,121,207,504
1608,87276469,95340,3707776,3932743,4071799,4112008,1989555,3586931
1609,87393504,78350,186152,187858,184879,184199,66070,67702
1610,87574541,41100,2721,2000,1513,1788,1136,1961
1611,87271163,93380,8641481,9460414,10088539,9921222,4800915,9196051
1612,87473538,22810,5069,3960,4315,4433,3700,4720
1613,87718189,39800,77485,86711,76978,95413,82738,97108
1614,87725846,1310,5775,6519,5416,7407,4945,6277
1615,87615146,11250,1138,324,130,882,642,853
1616,87393041,75007,4438616,4384798,4258429,4130203,2258916,2746585
1617,87141820,54700,937395,971710,983306,1040302,714474,820553
1618,87743120,1160,24673,26249,21678,26296,19543,25236
1619,87394247,28190,16746,15576,17267,19123,18168,28386
1620,87473835,22260,4709,4116,3350,3273,2636,5888
1621,87141523,54550,33702,32818,33019,35726,27541,31182
1622,87481283,44210,81644,103013,111603,148639,106737,149450
1623,87478750,53410,62147,65049,59807,51913,24133,28350
1624,87575076,37000,38778,38060,33146,34532,23238,31636
1625,87781062,11210,78634,87075,71159,83628,70509,104839
1626,87586107,47130,40541,41324,34778,40711,30883,46175
1627,87696179,58150,6802,7458,7249,10479,8191,6954
1628,87582767,33210,5280,5037,4025,5669,5641,8732
1629,87343418,59121,834,1160,904,1246,878,1559
1630,87576199,41200,7031,6212,5893,5929,5040,7249
1631,87672279,64270,40671,42721,35064,43793,33039,48583
1632,87473058,35290,7876,10624,14362,15811,16478,17720
1633,87476457,56170,98968,102061,101288,116138,81868,99587
1634,87615260,11500,9974,10240,9141,10767,28039,33294
1635,87615328,81800,131807,144721,120419,152727,122462,157755
1636,87595223,24430,4646,3667,2851,5446,3803,4100
1637,87171009,51100,3751481,3966061,3643133,3820119,2551210,3131748
1638,87988709,93140,623148,580626,532143,485311,1045054,499768
1639,87734749,43130,39124,28972,40933,49984,31151,39861
1640,87734053,63140,850686,904676,831471,961682,677344,817285
1641,87485144,17300,392386,441775,400533,493168,302047,434388
1642,87191734,57120,62424,63890,60009,67381,41738,49059
1643,87118158,10100,294493,295097,292078,327208,223817,281232
1644,87576025,41200,85635,87617,95950,119781,96061,125534
1645,87214320,67560,199098,206855,206667,223447,147359,176157
1646,87415885,78710,367325,410431,447201,496083,200417,334211
1647,87583203,16600,5148,5251,3501,956,480,None
1648,87583849,16700,89498,85212,70610,73937,53148,67510
1649,87746149,74150,558333,608629,551816,618183,402379,494035
1650,87784835,66800,1368,1487,1514,1934,2307,3157
1651,87295709,59177,59068,57580,53732,53761,34475,35654
1652,87574640,41310,3809,5487,4642,5559,3049,4529
1653,87723734,1390,238906,250018,230575,258339,147522,181491
1654,87286195,59350,16714,17021,14598,15321,10102,15188
1655,87594622,19130,344,858,923,1401,1828,2954
1656,87773465,34130,3160,2753,2523,3044,2966,4513
1657,87741306,73130,70572,77317,67349,69710,49465,55781
1658,87756866,6430,7654,7356,4602,5949,3695,2073
1659,87592097,87400,1779,1816,2356,3829,2656,2592
1660,87175000,52100,218749,215717,182880,200921,119594,154671
1661,87586479,47180,2498,2055,884,657,668,1045
1662,87545210,91700,4093512,4118094,4057666,4014188,1757976,2657248
1663,87747352,38120,49892,58208,51709,72567,42409,59432
1664,87751842,13014,53579,52239,24839,28648,17900,33772
1665,87575050,37800,90896,91678,97445,100761,64969,97477
1666,87584102,33330,58029,80917,89643,82269,43398,61842
1667,87481226,44680,167473,170164,176137,187946,120231,143989
1668,87726190,42000,121962,125617,112336,129338,65757,96721
1669,87726174,42000,55800,60756,44812,52487,29378,41645
1670,87673269,40230,9055,9751,7146,5511,6453,8253
1671,87393520,27320,60,2,44,None,None,None
1672,87382804,78100,136209,145087,152536,159479,None,None
1673,87592287,87380,13592,13004,13497,12422,9856,11172
1674,87174441,51400,391,345,230,414,3,None
1675,87611657,31790,148816,155313,134991,154657,155002,192959
1676,87683227,89330,24853,28506,26061,29000,21843,27876
1677,87715417,39150,16952,17453,12442,15068,14777,17898
1678,87694364,71510,5359,5232,5537,10019,11019,12289
1679,87144477,88650,11314,12313,10002,4653,1435,707
1680,87718197,39230,5279,4490,4255,2811,2787,3319
1681,87485490,79400,197027,201845,172022,177546,120436,150882
1682,87396283,72470,16082,16072,10393,9515,2026,2419
1683,87753681,13310,90739,92036,83479,90873,61043,85119
1684,87337980,95310,1715495,1838982,1979019,1996206,1028954,1747947
1685,87761494,7130,1609,1864,3080,1797,1051,522
1686,87394148,28130,183752,177968,171661,174649,124256,149913
1687,87571240,37700,3553503,3697167,3457033,3710116,2121656,2918332
1688,87746313,74800,57520,68870,67226,75269,64995,82851
1689,87478768,53410,53593,61035,63282,55467,23633,29585
1690,87761106,26140,287389,296022,271816,285747,198906,248488
1691,87743740,1230,10630,13544,12328,13428,9492,12716
1692,87447714,14380,78,75,76,48,7,2
1693,87584722,33450,43913,51529,69468,97161,69344,85894
1694,87761130,26240,278593,283543,257641,288303,199266,233101
1695,87286401,59211,49028,50672,46742,48428,29459,32753
1696,87381186,95640,39950,32353,25450,20305,10628,38184
1697,87595827,24200,49368,52745,47917,33045,32237,47918
1698,87193631,57115,3149,2799,1654,523,191,137
1699,87215459,67260,129974,124516,106524,97674,121163,130449
1700,87484329,49170,56299,54847,49260,49522,29797,23907
1701,87611368,9700,154780,171063,128348,136778,95387,119606
1702,87545236,91600,7756128,7998447,8091982,8218456,3789578,5037439
1703,87342253,62690,38536,35026,29081,29712,29700,22947
1704,87396317,72160,8089,9495,7644,5483,4197,3926
1705,87172254,8200,310422,304460,265254,281671,208443,261514
1706,87683003,89100,1159979,1187027,1098717,1149961,778705,961474
1707,87751800,13240,34849,32544,24987,23002,13658,19090
1708,87171645,51400,6022,5836,5180,7067,11372,17497
1709,87784702,66360,48,80,38,142,151,340
1710,87381269,60590,6792,6693,4700,1048,522,2746
1711,87763722,5700,17619,18488,13227,11608,5138,7988
1712,87271445,93270,8886322,8956744,8896630,8776328,4159740,4185252
1713,87743336,1250,14828,14491,14966,18630,15407,13088
1714,87751438,13109,153211,159409,149888,150213,86245,102809
1715,87581371,33780,30531,36686,39300,50903,39215,53384
1716,87684217,77460,656972,684942,674162,691753,375480,597864
1717,87164780,93200,9915895,9890614,9616737,9511865,3879984,4425669
1718,87182691,68850,64665,68285,68939,68825,50329,51329
1719,87342295,59189,707,895,366,209,260,401
1720,87212191,67200,63798,57421,55108,75283,48454,66201
1721,87286203,59270,45932,49485,47075,49897,39005,41989
1722,87756882,6430,26822,26052,18199,22922,11920,9070
1723,87487009,79100,50323,49652,35762,25252,16233,21994
1724,87215699,67290,58729,60852,65095,63356,39193,53190
1725,87486894,49660,10326,9837,6395,12669,11924,22724
1726,87611004,31500,9539321,10309397,8712234,9892175,7616091,10248180
1727,87381236,60590,55435,48719,36802,33359,17945,39794
1728,87343400,59125,9882,9167,11113,10673,8527,9354
1729,87184242,90000,21491,20775,18155,22181,14019,12744
1730,87696203,58400,5006,5034,4389,4260,4133,3255
1731,87761759,38210,304961,349358,319591,398166,243773,317878
1732,87594556,19500,425,587,504,324,297,728
1733,87784884,66760,37,82,44,48,126,106
1734,87113712,94120,17683219,17900299,17739617,17693555,17692029,22148961
1735,87171611,51360,13592,15922,13331,12017,12758,15746
1736,87773432,34130,11567,10230,6890,8308,8348,13920
1737,87276535,95430,924968,942389,976799,1035712,499320,891151
1738,87447284,50700,237144,245017,217468,237486,142781,181395
1739,87696351,3150,82671,94465,81562,96115,58073,73017
1740,87576231,36210,2660,3523,4331,3934,4499,4174
1741,87594606,19240,2141,2338,1814,2217,1394,1714
1742,87276626,95150,614590,618343,640196,636093,231976,540145
1743,87726208,42340,99916,96103,78751,91984,54825,59643
1744,87212118,67550,116758,101834,109019,123981,79654,98006
1745,87574558,41100,61126,61995,64882,96700,79003,86749
1746,87722264,69390,70150,81078,69916,85053,50592,71960
1747,87386656,78480,2656414,2684922,2666461,2651189,1192386,2116733
1748,87471029,35770,9349,6678,7889,6696,6368,7695
1749,87393157,78000,8367046,8009738,7520468,7015859,2886249,3310046
1750,87296608,2800,6093,4263,2810,2249,1745,2823
1751,87271437,93420,8195679,8132589,7925679,7736030,3831144,5453237
1752,87746735,74310,992,1057,910,1226,536,996
1753,87276568,95270,267292,270098,279178,284407,109940,245338
1754,87773531,34110,17870,16084,13338,15609,20507,38784
1755,87681619,91100,229174,222934,213167,204775,82639,157742
1756,87272021,95570,80512,89237,85903,94805,28284,86132
1757,87595892,24550,3318,3084,2586,3251,1895,732
1758,87576884,41200,24318,23003,21068,27715,21318,23779
1759,87721332,69400,2093793,2175951,2038720,2254011,1458296,1799137
1760,87756304,6270,268009,323854,304407,381658,222593,324260
1761,87271510,77270,4306598,4475328,4567191,4668437,2035390,3280952
1762,87713339,21130,6220,6991,1361,976,1079,1791
1763,87313593,60134,9072,10206,8746,8094,5033,5743
1764,87342576,62580,17949,15830,16330,19849,10616,14653
1765,87741108,73310,8798,6661,6363,10396,8868,10125
1766,87448159,14500,75950,77151,71071,80187,50430,57098
1767,87747204,38730,15897,15848,16990,24338,17414,22014
1768,87741504,1510,58225,65692,54918,44111,29627,45377
1769,87471508,35500,718364,752567,756074,831668,591362,690968
1770,87144279,88800,68356,59880,53873,53800,42037,56699
1771,87396077,72170,39023,43335,49243,48894,24763,29875
1772,87286229,59118,745,1093,976,919,21,127
1773,87281436,62910,95636,101732,96927,113082,82999,86007
1774,87214676,67130,103452,100373,91479,88851,79288,85596
1775,87193656,57137,13676,9824,7293,6744,5284,3101
1776,87682112,91330,3990066,4207385,4349907,4525768,2173871,3059573
1777,87342048,62121,92084,96451,92323,97848,67305,71432
1778,87271494,95700,13534634,14649835,14907773,15227840,5011999,6281244
1779,87171702,2190,8979,7368,6155,8796,10436,12294
1780,87313098,80470,123926,130664,126145,134750,105120,112866
1781,87713636,21110,24134,25375,24241,25004,19409,21511
1782,87319012,13592,3403078,3699076,3597729,3594151,2059068,2916645
1783,87746115,73410,86676,99810,84275,106006,67880,90061
1784,87741645,73200,330624,336210,290751,310114,202236,248996
1785,87615195,81000,52084,55019,44787,51855,37520,57591
1786,87721266,69250,231790,246020,229444,238564,186241,248756
1787,87775288,30100,441259,461106,417520,433827,307874,397673
1788,87394205,28300,25333,23907,23309,26442,24910,25521
1789,87481192,44150,892451,962972,926200,998815,623147,775939
1790,87575332,86700,11143,9727,8847,9770,7457,10031
1791,87726406,42160,19698,23002,25637,37934,20292,21399
1792,87484048,49000,12663,12708,16070,23126,18317,23674
1793,87745497,74100,767099,793906,618090,709777,647893,1023717
1794,87317255,62134,18542,12147,2643,811,412,3630
1795,87296459,60400,6728,6961,7832,7990,5965,6565
1796,87582668,33120,792957,910395,907838,1085934,772522,983833
1797,87144410,88380,52117,53916,51087,64056,40349,54228
1798,87597120,36200,126215,134473,128952,153723,118590,145226
1799,87753657,13200,677260,715084,646535,690306,358566,589761
1800,87342014,62000,4138307,4361839,4060559,4297088,2622169,2979908
1801,87394486,28290,6770,7322,7113,8096,7471,9504
1802,87543058,45410,60354,62856,62685,71415,60524,74019
1803,87594465,19190,7895,8054,6662,8137,5011,6209
1804,87317230,62770,7936,5041,1414,1133,589,7418
1805,87444059,14250,16471,16234,14323,15635,10779,14265
1806,87281428,62370,233684,244600,233256,250145,197448,232323
1807,87545657,28700,33197,31784,30121,30190,16876,21915
1808,87476200,56400,798576,829917,786183,887927,623457,867879
1809,87713347,21130,272128,284494,270708,298952,246666,258572
1810,87543207,75016,1838993,1836151,1804822,1773182,836594,984899
1811,87718551,25690,17448,17198,15850,21973,13740,10155
1812,87448514,50300,23086,24311,16954,16899,13362,19124
1813,87171561,51160,67550,67310,59687,58894,42312,41948
1814,87437806,17440,12485,11792,9352,11310,7205,9707
1815,87141408,54122,12881,11678,10053,10951,7448,8498
1816,87613604,46270,4038,4727,3358,1569,920,1924
1817,87394411,28120,75577,74398,76427,79178,67661,95047
1818,87342592,62580,1628,951,687,852,640,540
1819,87313569,60250,11228,11831,10936,10295,6145,7808
1820,87474189,29380,23072,22688,22562,28103,25645,29217
1821,87615757,12160,6053,6141,6223,9837,7645,10006
1822,87175042,55000,387660,415280,381208,416584,279951,337714
1823,87582759,33720,21672,20850,17065,19071,14286,17115
1824,87118299,10200,81953,83462,74247,89686,79554,75139
1825,87574152,45130,11273,12138,14919,16635,8932,11469
1826,87718460,25110,169972,170977,160265,184027,155122,177034
1827,87611723,31450,67474,68316,50573,55961,52111,72192
1828,87317198,62990,23410,13336,2962,2379,1744,13682
1829,87491076,17800,205,200,11,89,55,27
1830,87141804,54940,28504,28306,23040,25006,17494,20628
1831,87276550,95270,178318,182248,188233,182798,70829,160085
1832,87784892,66760,10,4,33,78,23,46
1833,87214122,67230,452346,486730,494393,562406,361262,428559
1834,87584268,24100,275003,297352,271436,185431,199226,278850
1835,87592352,87370,5404,5126,4566,4347,3064,3049
1836,87215335,57930,20717,20083,21396,21267,15676,18806
1837,87718007,25000,2040910,2118267,1948332,2155623,1587747,1910107
1838,87276642,95550,668488,700747,707523,737892,340303,693514
1839,87144188,88430,3142,2871,1579,1175,806,45
1840,87582478,33380,771937,864473,853936,958484,658271,858671
1841,87757690,6410,195896,239282,227496,273426,150711,205494
1842,87713073,21540,39990,43707,35558,36585,36567,36394
1843,87574475,37150,127815,139181,139736,145603,101869,141435
1844,87721787,69620,46924,25221,28578,35206,23861,27078
1845,87784801,66210,1473,1378,1188,1965,2147,3333
1846,87478065,35270,8156,7397,4713,4671,3261,3107
1847,87581009,33800,12198403,14979299,16080989,17675655,11184093,16454662
1848,87317016,62200,292292,306739,286180,314693,208525,242201
1849,87757534,83700,22844,15423,11894,19593,13038,23267
1850,87723429,38300,1701021,1838742,1765349,1855873,922883,1381493
1851,87486324,85480,716,573,729,949,320,1058
1852,87684118,77780,114171,127852,138473,151614,83212,155144
1853,87682138,91800,3712941,3677684,3585833,3487143,1921990,2906672
1854,87726216,42160,32178,37248,33990,43426,26961,34858
1855,87182659,68380,31159,28724,27185,30219,28763,29562
1856,87317180,62170,514,451,3,152,380,1330
1857,87131961,1460,38422,32521,32292,35922,25344,34660
1858,87448084,61220,34775,35494,34356,37420,24431,31297
1859,87594002,19100,836580,864600,758883,810034,538164,776960
1860,87694166,71190,6225,7856,6919,4836,5732,5014
1861,87682120,91800,4792605,4964873,5045320,5141272,920246,3464332
1862,87592162,19170,5815,5810,5992,7502,4761,5689
1863,87316067,80300,2704,3036,2632,2990,2843,2579
1864,87613000,46000,348633,355110,299131,331604,263846,352827
1865,87756395,6320,73501,89868,77459,99635,74013,95563
1866,87172353,8110,28893,24363,20816,20213,10707,14028
1867,87615039,11400,298324,307949,247301,281801,207782,278907
1868,87584136,33350,138851,148967,132624,101245,106766,145213
1869,87345561,59540,106785,115496,105680,128178,82399,101059
1870,87473066,22350,31786,36453,45131,55299,42095,49281
1871,87583690,16210,14990,16052,16505,22302,16085,22195
1872,87683128,89340,58208,58963,53895,80015,57749,74932
1873,87381475,78570,823290,796777,757040,719119,331726,826353
1874,87486332,85110,16152,15532,17660,17727,8294,12552
1875,87722710,69630,65119,77448,80970,91801,74261,89155
1876,87721530,69260,235456,253010,241958,252754,182340,212581
1877,87381194,95750,207620,211762,210567,216668,61405,186583
1878,87751230,4160,38741,40836,31432,18133,7155,11083
1879,87471524,35220,401892,419143,417333,465229,358738,389297
1880,87543066,28210,4606,4982,3358,3720,3302,5504
1881,87574665,37110,61802,57896,58237,68702,52114,69991
1882,87597005,36000,751042,787944,728454,805216,560045,617397
1883,87758607,75001,30742412,31827871,32450133,32978142,7980634,23513054
1884,87142000,52000,393953,391954,337021,343328,217313,258099
1885,87393173,92370,1860522,1754176,1623827,1505780,538929,817000
1886,87116111,77500,10797607,10947125,10902348,10874698,5503458,7258472
1887,87393637,91380,1018999,1033197,1025321,1027095,343304,455942
1888,87783290,48100,15,25,15,22,59,20
1889,87342220,62920,6643,5183,4462,5799,3389,3386
1890,87484303,49280,521430,541162,471013,499882,321851,451435
1891,87611376,31550,98862,104090,78473,81773,57628,73749
1892,87313304,60600,930076,980153,926973,980971,709439,813582
1893,87782607,63000,289709,306582,248038,261412,198483,222476
1894,87784256,66190,68177,97534,82088,101806,61975,85175
1895,87594382,24570,32350,33306,28841,28351,15934,21220
1896,87713537,21700,12360,13228,12843,15088,12146,8681
1897,87345132,62680,31557,35421,33675,33746,12501,14460
1898,87481804,44220,32029,37526,46990,56980,33555,42387
1899,87781161,11110,2154,2550,2708,4105,2409,2668
1900,87394221,28190,292795,297098,301967,326100,246509,337356
1901,87613232,12110,3520,3594,3123,3204,2310,3332
1902,87725713,71680,22115,25708,24107,27490,16541,27922
1903,87761783,26400,57212,59650,58015,75386,52330,53630
1904,87608802,94600,7064928,7375710,7588995,7763379,1904409,6072149
1905,87741074,1350,221698,230147,205156,260868,151638,196035
1906,87214551,67120,69926,80157,88930,106254,67074,80022
1907,87142497,88320,581,601,406,261,41,186
1908,87700146,90400,None,None,87,1924,948,1007
1909,87734673,43270,8542,6034,2834,3386,2094,2160
1910,87673202,40100,874024,930600,864607,931979,635982,967004
1911,87696484,58300,90908,94386,78441,94895,61224,74071
1912,87613174,46340,347,308,151,215,267,697
1913,87297143,2270,13129,13503,11496,9871,10378,9055
1914,87415018,76200,479196,505178,502031,557443,376579,468655
1915,87478073,35120,379307,404127,380495,427379,295448,384796
1916,87281006,59140,1681344,1756974,1663300,1931759,1241973,1414394
1917,87214536,67120,116104,114495,113985,111178,72738,88012
1918,87396564,72220,108386,112643,109312,91331,38701,52183
1919,87276394,95440,1939326,1983810,1943954,1881227,762769,1582811
1920,87784207,66200,67193,78349,64944,65786,36863,58495
1921,87144436,88510,23985,25110,25630,36583,22178,27531
1922,87116046,77340,4892074,4898268,4801461,4748348,2496908,3748002
1923,87765826,84700,54435,93044,77547,79583,39335,59518
1924,87575357,86510,773,590,609,740,770,1428
1925,87394114,28230,1460910,1456641,1392274,1453371,1045524,1255772
1926,87214221,67680,26404,24355,22409,26024,21334,26908
1927,87144006,88000,1081484,1105348,1013669,1117071,809109,1015500
1928,87590356,44240,23906,31751,33668,41140,27016,29592
1929,87276055,95120,21209815,22292293,23060542,22636877,12240896,18108209
1930,87611707,31750,62219,64311,49190,57402,45517,53746
1931,87272096,60110,38543,44624,42395,44886,32345,40101
1932,87681601,91100,342324,324412,301824,281500,101432,207462
1933,87784827,66800,77,96,228,181,138,255
